Code;Description;
6000000001;COMPRA DE MERCADERIAS;
6070000001;TRABAJOS REALIZADOS POR CUENTA DE TERCEROS;

6210000001;ARRENDAMIENTOS;
6210000002;ALQUILERES DE VEHÍCULOS;
6220000001;REPARACION Y CONSERVACIÓN;
6250000001;PRIMAS DE SEGUROS;
6260000001;GASTOS BANCO BBVA;
6270000001;DIETAS;
6270000002;ESTANCIAS;
6270000003;TRANSPORTE;
6270000004;PEAJES;
6270000005;PARKING;
6270000006;MARKETING;
6270000007;INDETERMINADOS;
6280000003;COMBUSTIBLE;

6300000000;IMPUESTO SOBRE EL BENEFICIO;

6400000001;SUELDOS Y SALARIOS;
6400000002;SEGURIDAD SOCIAL A CARGO DE LA EMPRESA;

6780000000;GASTOS EXCEPCIONALES;

6810000000;AMORTIZACIÓN DEL INOMVILIZADO MATERIAL;

6990000000;POR ORDENAR;
